microRNA	Gene_name	expression.correlation	correlation.pvalue
hsa-mir-34b	WDFY3-AS2	-0.439267368235906	1.33076688164542e-09
hsa-mir-34b	NNT-AS1	-0.463059628561388	1.24557925823776e-10
hsa-mir-34b	RRS1-AS1	-0.342865067912685	3.63438968479902e-06
hsa-mir-34b	OTUD6B-AS1	-0.335698501822094	5.94432396961414e-06
hsa-mir-34b	LINC00535	-0.357350230368014	1.29450323918588e-06
hsa-mir-34b	CCDC183-AS1	-0.353321739531828	1.73392161500277e-06
hsa-mir-34b	BDNF-AS	-0.346182314910339	2.88216930951921e-06
hsa-mir-34b	BCDIN3D-AS1	-0.384104988851775	1.67421452203965e-07
hsa-mir-34b	ESRRAP2	-0.367342939533478	6.16109772672923e-07
hsa-mir-34b	CPEB1-AS1	-0.336403302577919	5.66661707914273e-06
hsa-mir-34b	PDP2	-0.387425347626068	1.28208034223854e-07
hsa-mir-34b	RUNDC3A-AS1	-0.356255555158007	1.40205791821952e-06
hsa-mir-34b	MAP3K14-AS1	-0.360073782087999	1.05998514179701e-06
hsa-mir-34b	DYNLL2	-0.381678316397508	2.03098539028568e-07
hsa-mir-34b	SDCBP2-AS1	-0.389833945063065	1.05448519463104e-07
hsa-mir-34b	SLC25A5-AS1	-0.333543606605811	6.87569138973615e-06
hsa-mir-34c	TAF1A-AS1	-0.339350574867561	4.6331872926667e-06
hsa-mir-34c	ACYP2	-0.34640745825448	2.83688865432719e-06
hsa-mir-34c	LINC00608	-0.413413889874579	1.43049716618991e-08
hsa-mir-34c	FGD5-AS1	-0.386715145582869	1.35772630420542e-07
hsa-mir-34c	PTPRG-AS1	-0.355102605603038	1.52452470691791e-06
hsa-mir-34c	LINC00882	-0.386828081904839	1.34541739844601e-07
hsa-mir-34c	NOP14-AS1	-0.350658589422855	2.09886146639797e-06
hsa-mir-34c	STX18-AS1	-0.382697420243024	1.87308125320928e-07
hsa-mir-34c	WDFY3-AS2	-0.453346480968193	3.34917694081618e-10
hsa-mir-34c	NNT-AS1	-0.465544395437308	9.6227112754477e-11
hsa-mir-34c	LINC00242	-0.332514918796332	7.36759394865694e-06
hsa-mir-34c	LINC00574	-0.372132306853425	4.2777236902267e-07
hsa-mir-34c	MAGI2-AS3	-0.360151762500305	1.05390771497618e-06
hsa-mir-34c	OTUD6B-AS1	-0.362544497462644	8.82789494054776e-07
hsa-mir-34c	CCDC183-AS1	-0.38537701178174	1.51203821856728e-07
hsa-mir-34c	SLC25A16	-0.341146522998468	4.09406550781025e-06
hsa-mir-34c	BDNF-AS	-0.398806043109126	5.02175155476158e-08
hsa-mir-34c	BCDIN3D-AS1	-0.407158143892089	2.46742789484332e-08
hsa-mir-34c	GPN3	-0.332166417719272	7.54167567437144e-06
hsa-mir-34c	ESRRAP2	-0.338922273240106	4.77136893844136e-06
hsa-mir-34c	RBM26-AS1	-0.354773762413192	1.56128171603752e-06
hsa-mir-34c	FGF14	-0.373111667961288	3.96732052148431e-07
hsa-mir-34c	CPEB1-AS1	-0.39052084069904	9.97036281507558e-08
hsa-mir-34c	PDP2	-0.342130489370069	3.82452789649844e-06
hsa-mir-34c	RUNDC3A-AS1	-0.395164915278858	6.8039342359768e-08
hsa-mir-34c	MAP3K14-AS1	-0.398464035404926	5.16788062686666e-08
hsa-mir-34c	DYNLL2	-0.378427438911819	2.62444979539388e-07
hsa-mir-34c	NRSN2-AS1	-0.33400933767925	6.66337678995658e-06
hsa-mir-34c	SDCBP2-AS1	-0.407776346828296	2.33917832959854e-08
hsa-mir-34c	LINC01285	-0.361718864054942	9.38595360777866e-07
hsa-mir-34c	SLC25A5-AS1	-0.403632748117092	3.33843417644889e-08
hsa-mir-383	LINC01361	-0.387298926543161	1.29524338592011e-07
hsa-mir-383	MIR137HG	-0.473418935976675	4.18903816772386e-11
hsa-mir-383	HIST2H2BF	-0.375201433184028	3.37542438113962e-07
hsa-mir-383	LINC01250	-0.374523747926633	3.55743688257667e-07
hsa-mir-383	NRIR	-0.370871434072154	4.71165872315296e-07
hsa-mir-383	RNF144A-AS1	-0.372752032216885	4.07871519200354e-07
hsa-mir-383	GACAT3	-0.395249220483259	6.75653350144509e-08
hsa-mir-383	LINC00954	-0.367747853804253	5.97531933861113e-07
hsa-mir-383	ACYP2	-0.401401585897234	4.03511972634342e-08
hsa-mir-383	AC009312.1	-0.400639174104393	4.30373550291861e-08
hsa-mir-383	HAGLROS	-0.56480495656767	4.75190216808188e-16
hsa-mir-383	AC009498.1	-0.341329152008621	4.04271166519685e-06
hsa-mir-383	SATB1-AS1	-0.351367017895267	1.99521981414813e-06
hsa-mir-383	LINC00877	-0.535674736737041	2.61275953792527e-14
hsa-mir-383	LINC00884	-0.468156601730396	7.3198241051607e-11
hsa-mir-383	LINC01085	-0.335843026643155	5.88634636940696e-06
hsa-mir-383	KLF3-AS1	-0.370430538392842	4.87309236640489e-07
hsa-mir-383	UBA6-AS1	-0.346668751047461	2.78518591510628e-06
hsa-mir-383	HCG11	-0.562041441920977	7.06848889686495e-16
hsa-mir-383	LINC00951	-0.336908523066261	5.47517232959584e-06
hsa-mir-383	STXBP5	-0.428771924024735	3.57513723564923e-09
hsa-mir-383	AC022182.1	-0.379933879667052	2.3312992949413e-07
hsa-mir-383	OTUD6B-AS1	-0.489028213079691	7.55764928327235e-12
hsa-mir-383	LINC01508	-0.341192618136864	4.08104576777607e-06
hsa-mir-383	LINC01501	-0.345200037139104	3.0878892124909e-06
hsa-mir-383	LINC00484	-0.337855151625749	5.13286910665266e-06
hsa-mir-383	PAPPA-AS2	-0.35467279553441	1.5727358716217e-06
hsa-mir-383	ADIRF-AS1	-0.409956352657639	1.93616389594896e-08
hsa-mir-383	LINC00865	-0.417103984896416	1.03166736630972e-08
hsa-mir-383	CASC2	-0.469452618939481	6.38539127300439e-11
hsa-mir-383	NCAM1-AS1	-0.449981724097709	4.68409401751534e-10
hsa-mir-383	LINC00900	-0.538931457244016	1.70138200849598e-14
hsa-mir-383	GRAMD1B	-0.35566769570182	1.46327917826025e-06
hsa-mir-383	FAM222A-AS1	-0.455262811353828	2.76218654276924e-10
hsa-mir-383	LINC00327	-0.375512103448575	3.29499558796608e-07
hsa-mir-383	LINC00642	-0.357869643971749	1.24626585368547e-06
hsa-mir-383	AL132709.1	-0.415303441533495	1.21064094447271e-08
hsa-mir-383	PWRN1	-0.352914694339057	1.78549021050881e-06
hsa-mir-383	SNHG14	-0.371373296396164	4.53412459020473e-07
hsa-mir-383	FSIP1	-0.381085650195472	2.12859846558285e-07
hsa-mir-383	USP3-AS1	-0.425971507550139	4.62761653734357e-09
hsa-mir-383	LOXL1-AS1	-0.455972324048867	2.57120762546691e-10
hsa-mir-383	CPEB1-AS1	-0.522049865204034	1.49689682043268e-13
hsa-mir-383	TMEM220-AS1	-0.440112842262554	1.22712105009787e-09
hsa-mir-383	LINC01415	-0.387693123254953	1.25462167561536e-07
hsa-mir-383	SNAP25-AS1	-0.341357113871067	4.03490323173874e-06
hsa-mir-383	SLC37A1	-0.379113760295834	2.48676443210284e-07
hsa-mir-383	RFPL1S	-0.410985356954923	1.77000698077577e-08
hsa-mir-3912	AC010969.1	-0.330162349364587	8.62087262973067e-06
hsa-mir-3912	HAGLROS	-0.390271279364802	1.01755224475244e-07
hsa-mir-3912	LINC00877	-0.338211381899237	5.00939541359697e-06
hsa-mir-3912	LINC01091	-0.346017230215254	2.9158068923769e-06
hsa-mir-3912	USP3-AS1	-0.342605404431009	3.70055060109137e-06
hsa-mir-3929	LINC00184	-0.380080456760033	2.30451241297124e-07
hsa-mir-3929	GACAT3	-0.43638463571999	1.75164604705552e-09
hsa-mir-3929	LINC01114	-0.461215995147762	1.50642464614585e-10
hsa-mir-3929	LINC01159	-0.342187307330471	3.8094902874088e-06
hsa-mir-3929	AC009312.1	-0.375046503896763	3.41623234498789e-07
hsa-mir-3929	HAGLROS	-0.369577372551887	5.20061608981769e-07
hsa-mir-3929	LINC00698	-0.356195064824551	1.40824302942924e-06
hsa-mir-3929	LINC00951	-0.352913163789854	1.78568684468341e-06
hsa-mir-3929	LINC00680	-0.34094695955134	4.15088948307312e-06
hsa-mir-3929	AC000124.1	-0.358370184454854	1.20140630851086e-06
hsa-mir-3929	LINC01501	-0.366360901681078	6.63486177491871e-07
hsa-mir-3929	PAPPA-AS2	-0.345176540243071	3.09297715773572e-06
hsa-mir-3929	ADIRF-AS1	-0.406603381044243	2.58825315261134e-08
hsa-mir-3929	LINC00865	-0.393731114358855	7.6606876961271e-08
hsa-mir-3929	LINC01168	-0.356493656342123	1.377962799009e-06
hsa-mir-3929	LINC00900	-0.369044823719412	5.415612008744e-07
hsa-mir-3929	FAM222A-AS1	-0.369045294395395	5.41541829405691e-07
hsa-mir-3929	LINC00639	-0.396393061947947	6.14392466981437e-08
hsa-mir-3929	LOXL1-AS1	-0.358728725372601	1.17022414775053e-06
hsa-mir-3929	CCDC33	-0.359089677131463	1.13961285066147e-06
hsa-mir-3929	LINC01229	-0.36378600248171	8.04797046128889e-07
hsa-mir-3929	SPAG5-AS1	-0.347765148939341	2.57784811056825e-06
hsa-mir-3929	TRPC5OS	-0.378128190605031	2.68674140231896e-07
hsa-mir-4691	NRIR	-0.353285823666401	1.73841410286383e-06
hsa-mir-4691	BCYRN1	-0.384256965310541	1.65399551936128e-07
hsa-mir-4691	AC009498.1	-0.353605678805004	1.69879272226716e-06
hsa-mir-4691	LINC00865	-0.335594639778357	5.98632337132082e-06
hsa-mir-4691	FAM222A-AS1	-0.380072879427403	2.30588991118109e-07
hsa-mir-4691	LINC00639	-0.331050935452452	8.12545857048592e-06
hsa-mir-4691	LOXL1-AS1	-0.339215305058744	4.67641310144176e-06
hsa-mir-4691	CCDC33	-0.367350413607144	6.15761910466825e-07
hsa-mir-4691	SLC25A5-AS1	-0.387819379802044	1.24187137254293e-07
hsa-mir-4742	BCYRN1	-0.385014923320114	1.55660126019067e-07
hsa-mir-4742	MEIS1-AS2	-0.432659698716067	2.48893334584776e-09
hsa-mir-4742	LINC01123	-0.385881340361334	1.4520026132733e-07
hsa-mir-4742	LINC00877	-0.363253199387304	8.37426525754581e-07
hsa-mir-483	CLCN6	-0.449951940238733	4.69794704304505e-10
hsa-mir-483	LINC00184	-0.352970213252387	1.77837145795754e-06
hsa-mir-483	CCDC148-AS1	-0.331674503062978	7.79404038569832e-06
hsa-mir-483	LINC01050	-0.342872246130793	3.63257677642695e-06
hsa-mir-490	MIR137HG	-0.389049869987977	1.12394334108716e-07
hsa-mir-490	HAGLROS	-0.44742819435751	6.02746105012712e-10
hsa-mir-490	LINC00877	-0.408497480096947	2.19767298524226e-08
hsa-mir-490	CASC2	-0.394572290537927	7.14626430246736e-08
hsa-mir-490	LINC00900	-0.398878147503669	4.99145438566401e-08
hsa-mir-490	AL132709.1	-0.408397483034244	2.21679125291115e-08
hsa-mir-490	SLC37A1	-0.340936868825884	4.15378253624928e-06
hsa-mir-490	RFPL1S	-0.390729468209206	9.80190522959722e-08
hsa-mir-490	DMD	-0.383472455210938	1.76094038089152e-07
hsa-mir-504	RGS5	-0.423991170565597	5.54613382978684e-09
hsa-mir-504	TAPT1-AS1	-0.405110232356666	2.94239567362471e-08
hsa-mir-504	GDNF-AS1	-0.357470104523036	1.28321515247189e-06
hsa-mir-504	MAGI2-AS3	-0.331201594791084	8.0441831449129e-06
hsa-mir-504	LINC01501	-0.334761974551006	6.33335604833602e-06
hsa-mir-504	NEURL1-AS1	-0.373773817831512	3.76979057436196e-07
hsa-mir-504	FAM222A-AS1	-0.413014128287326	1.48170613553103e-08
hsa-mir-504	FGF14-IT1	-0.334469823630291	6.45957568590207e-06
hsa-mir-504	LINC00482	-0.37387584260018	3.74020418591803e-07
hsa-mir-504	NRSN2-AS1	-0.357623565184812	1.26890128090921e-06
hsa-mir-504	CYYR1-AS1	-0.481121663774417	1.81886568431235e-11
hsa-mir-504	MIAT	-0.345411695452853	3.04241470064467e-06
hsa-mir-504	DMD	-0.394892058192759	6.95954747748835e-08
hsa-mir-551a	LOXL1-AS1	-0.330936665935225	8.18762117287176e-06
hsa-mir-592	LINC01114	-0.402892419044248	3.5556791855557e-08
hsa-mir-592	AC009312.1	-0.337833790720121	5.14036411218654e-06
hsa-mir-592	AC009498.1	-0.375412357922258	3.3206164937515e-07
hsa-mir-592	C8orf37-AS1	-0.348979844947592	2.36530592185138e-06
hsa-mir-592	OLMALINC	-0.39669007688069	5.99379540923807e-08
hsa-mir-592	FAM222A-AS1	-0.358936967499978	1.1524693405398e-06
hsa-mir-642a	MEG3	-0.370815517222639	4.73184586430349e-07
hsa-mir-642a	MEG8	-0.361101712525586	9.82491659642063e-07
hsa-mir-670	LINC00698	-0.334646744492281	6.38285762958418e-06
hsa-mir-670	LINC01182	-0.439080400316276	1.35480346505049e-09
hsa-mir-670	LINC01085	-0.346909050627572	2.73842934490212e-06
hsa-mir-670	TDRG1	-0.368962560872977	5.44957059284272e-07
hsa-mir-670	LINC00951	-0.354986186001446	1.53744238941034e-06
hsa-mir-670	TMEM220-AS1	-0.381819567050375	2.00836207399053e-07
hsa-mir-6716	FAM222A-AS1	-0.399643094110681	4.6806616277525e-08
hsa-mir-6844	BCYRN1	-0.337692284534812	5.19027803331634e-06
hsa-mir-6844	LINC01182	-0.420885960606757	7.34973067137223e-09
hsa-mir-6844	LINC01085	-0.381030843828927	2.13784875527802e-07
hsa-mir-6844	LINC01518	-0.334483728201419	6.45351473648835e-06
hsa-mir-6844	SBF2-AS1	-0.333925603167938	6.70108499317873e-06
hsa-mir-6844	CCDC33	-0.338145932478563	5.03186747386709e-06
hsa-mir-6844	DSCR9	-0.339164488950692	4.69275023675552e-06
hsa-mir-6844	SLC25A5-AS1	-0.333488950170725	6.90102419840046e-06
hsa-mir-891a	LINC01361	-0.38446387953745	1.6268434599517e-07
hsa-mir-891a	AC105402.3	-0.330602236589551	8.37215003884106e-06
hsa-mir-891a	HOXA-AS3	-0.41690263431576	1.05033856517522e-08
hsa-mir-891a	BET1	-0.359508851524372	1.10502221767753e-06
hsa-mir-891a	CASC2	-0.351006911026986	2.04727822501804e-06
hsa-mir-891a	AL132709.1	-0.355717698115895	1.45797423650993e-06
hsa-mir-935	MIR137HG	-0.332232242454735	7.5084993951005e-06
hsa-mir-935	LINC01160	-0.345503409723358	3.02290839432191e-06
hsa-mir-935	RNF144A-AS1	-0.384073978757003	1.67836911274139e-07
hsa-mir-935	HAGLROS	-0.352275948062612	1.86936856777146e-06
hsa-mir-935	LINC00475	-0.374822456688701	3.47608159970321e-07
hsa-mir-96	MIR137HG	-0.436237476391243	1.77626931740799e-09
hsa-mir-96	HAGLROS	-0.383654130791812	1.73560004314094e-07
hsa-mir-96	LINC00877	-0.440865323359674	1.14147063863228e-09
hsa-mir-96	LINC00682	-0.332851502458094	7.2030859516199e-06
hsa-mir-96	HCG11	-0.36460814536981	7.56818332895371e-07
hsa-mir-96	MAGI2-AS3	-0.346794619130083	2.76060109493184e-06
hsa-mir-96	OTUD6B-AS1	-0.403108580843233	3.49088144907934e-08
hsa-mir-96	CASC2	-0.386580024220013	1.37259504477716e-07
hsa-mir-96	LINC00900	-0.407989541610614	2.29645597655999e-08
hsa-mir-96	CPEB1-AS1	-0.335741629998477	5.92696619984034e-06
hsa-mir-96	RFPL1S	-0.380955278113044	2.150665997489e-07
